MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-25;140;1.988375;5;41.13342
3;0.8;30;220;1.76406;3;13.28722
3;0.8;-45;260;2.179755;4;24.05531
3;0.8;12.5;180;1.989793;4;5.90999
3;0.8;0;140;1.803597;4;6.611586
3;0.8;20;260;2.112114;2;5.165641
3;0.8;30;220;1.892372;2;6.733436
3;0.8;-70;180;2.312559;5;7.732491
3;0.8;0;220;2.015788;3;7.698448
3;0.8;-70;180;2.269334;5;6.312181
3;0.8;50;140;1.7742;2;8.454638
3;0.8;-110;260;2.704718;5;6.3658
3;0.8;25;140;1.883311;3;7.999312
3;0.8;30;220;2.010134;2;5.755005
3;0.8;12.5;180;2.19215;3;5.068152
3;0.8;-77.5;260;2.394142;4;6.676181
3;0.8;0;140;1.823738;4;8.220832
3;0.8;-90;220;2.51754;5;5.989101
3;0.8;-70;180;2.294793;5;6.221567
3;0.8;-77.5;260;2.382403;4;6.333811
3;0.8;-60;220;2.146474;4;7.233194
3;0.8;-110;260;2.33041;5;7.276009
3;0.8;-50;140;1.867174;5;7.522682
3;0.8;40;180;1.852234;2;8.69947
3;0.8;-12.5;260;2.153881;2;5.489013
3;0.8;-15;180;1.972288;3;6.033947
3;0.8;-90;220;2.496114;5;5.09958
3;0.8;50;140;1.733125;2;7.332636
3;0.8;12.5;180;1.825009;2;7.177226
3;0.8;-45;260;2.114811;2;5.198407
3;0.8;-90;220;2.341516;5;4.990491
3;0.8;25;140;1.784701;2;6.310137
3;0.8;40;180;1.852808;1;6.511973
3;0.8;-12.5;260;1.99209;1;4.699059
3;0.8;-50;140;1.988463;5;5.244661
3;0.8;-60;220;2.04459;4;6.463719
3;0.8;-42.5;180;1.986467;5;5.800571
3;0.8;0;220;2.196632;2;5.566537
3;0.8;25;140;1.847851;3;5.166624
3;0.8;20;260;1.837397;1;6.52227
3;0.8;0;220;1.910057;2;5.798601
3;0.8;-25;140;1.764753;5;6.277678
3;0.8;-12.5;260;1.928828;2;6.499641
3;0.8;-42.5;180;1.917433;5;5.899029
3;0.8;-30;220;1.912687;2;6.533887
3;0.8;-50;140;1.979146;5;6.065348
3;0.8;-15;180;2.001406;3;6.000556
3;0.8;-110;260;2.767684;5;7.365992
3;0.8;40;180;1.751979;1;5.71167
3;0.8;50;140;1.664655;1;5.698478
3;0.8;-30;220;2.056658;3;7.189363
3;0.8;20;260;1.899111;1;5.498978
3;0.8;-30;220;1.972102;4;5.745814
3;0.8;-45;260;2.013062;4;4.98784
3;0.8;-25;140;1.746714;5;6.688597
3;0.8;-42.5;180;1.955916;5;4.612227
3;0.8;-77.5;260;2.318155;5;7.45333
3;0.8;-15;180;1.980596;4;7.898347
3;0.8;-60;220;2.226366;4;5.488228
3;0.8;0;140;1.90543;3;6.22333

