MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-77.5;260;2.724563;4;32.61168
3;0.8;-50;140;2.197986;5;19.99766
3;0.8;-90;220;2.314772;5;12.13252
3;0.8;-70;180;2.203116;5;15.11213
3;0.8;-110;260;2.657075;5;14.7536
3;0.8;12.5;180;1.987181;4;35.50333
3;0.8;-60;220;2.616237;5;6.443537
3;0.8;0;140;1.904833;5;7.987107
3;0.8;-15;180;2.182916;4;9.501552
3;0.8;50;140;1.818054;3;6.798971
3;0.8;30;220;1.988912;5;5.122791
3;0.8;-77.5;260;2.380919;5;6.154853
3;0.8;-70;180;2.161078;5;7.364687
3;0.8;-50;140;1.881923;5;6.544697
3;0.8;-30;220;2.1074;5;12.15602
3;0.8;-45;260;2.235014;4;9.420394
3;0.8;-15;180;2.135911;5;5.477319
3;0.8;25;140;1.781399;5;10.72173
3;0.8;-60;220;2.16476;4;7.6111
3;0.8;-45;260;2.254739;5;7.888494
3;0.8;-42.5;180;2.207876;5;5.933237
3;0.8;-77.5;260;2.362982;5;7.611818
3;0.8;-90;220;2.449379;3;7.743274
3;0.8;50;140;1.927523;4;14.75701
3;0.8;-70;180;2.154186;4;9.499355
3;0.8;30;220;2.116217;5;5.087167
3;0.8;-25;140;2.108999;5;4.879269
3;0.8;20;260;1.948287;5;9.765913
3;0.8;-25;140;1.890462;5;6.110643
3;0.8;-110;260;2.420958;3;8.065835
3;0.8;40;180;1.79354;5;5.211333
3;0.8;0;220;2.065527;5;4.511036
3;0.8;-50;140;1.962036;4;7.5652
3;0.8;12.5;180;1.910245;5;5.523802
3;0.8;30;220;1.842543;5;5.0642
3;0.8;20;260;1.799053;5;5.85627
3;0.8;25;140;1.756071;5;5.042776
3;0.8;0;220;1.860058;5;5.100663
3;0.8;20;260;1.954413;5;4.454679
3;0.8;-15;180;1.91964;5;4.732614
3;0.8;50;140;1.734549;4;8.644439
3;0.8;0;220;1.940351;4;16.81156
3;0.8;-12.5;260;1.892402;4;6.122009
3;0.8;40;180;1.718921;4;15.07708
3;0.8;-30;220;2.091464;5;6.378976
3;0.8;-45;260;2.325444;5;5.088877
3;0.8;0;140;1.798682;5;5.274993
3;0.8;-42.5;180;2.061481;5;5.432005
3;0.8;-30;220;2.070574;5;5.211015
3;0.8;-12.5;260;1.795007;3;15.06759
3;0.8;25;140;1.64405;5;6.545086
3;0.8;40;180;1.690529;5;5.664729
3;0.8;-90;220;2.082853;3;8.366227
3;0.8;0;140;1.683347;5;7.744305
3;0.8;-12.5;260;1.78547;5;7.933076
3;0.8;-42.5;180;1.769283;5;8.643723
3;0.8;-110;260;2.118176;4;8.799262
3;0.8;-25;140;1.726158;5;6.75457
3;0.8;-60;220;1.966119;5;6.1544
3;0.8;12.5;180;1.772173;5;7.379177

