MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;0;220;2.039528;3;19.05312
3;0.8;-25;140;1.761505;5;13.56661
3;0.8;-45;260;2.159433;3;11.37722
3;0.8;40;180;1.768666;2;9.677938
3;0.8;-45;260;2.140011;3;7.487782
3;0.8;-60;220;2.098555;5;7.931886
3;0.8;-70;180;1.947019;2;11.69057
3;0.8;-25;140;1.792446;4;7.52009
3;0.8;30;220;1.859735;2;9.070067
3;0.8;-15;180;1.941837;5;6.853342
3;0.8;-50;140;1.883958;2;5.086926
3;0.8;-12.5;260;1.984959;2;9.123631
3;0.8;-25;140;1.812346;3;6.043562
3;0.8;-30;220;2.06072;4;10.2663
3;0.8;-77.5;260;2.26137;5;8.321404
3;0.8;-42.5;180;1.952963;3;8.910752
3;0.8;30;220;1.856323;2;7.988925
3;0.8;-77.5;260;2.241047;4;5.567212
3;0.8;-50;140;1.862588;2;7.032482
3;0.8;40;180;1.758586;2;7.743564
3;0.8;-90;220;2.169865;3;14.02155
3;0.8;-45;260;2.283694;3;8.001881
3;0.8;-70;180;2.030089;2;7.565734
3;0.8;50;140;1.978613;2;8.721122
3;0.8;12.5;180;1.836862;4;6.95667
3;0.8;-30;220;2.070688;4;7.775651
3;0.8;20;260;2.002608;1;6.078347
3;0.8;25;140;1.675968;5;8.233106
3;0.8;-60;220;2.009299;3;7.688586
3;0.8;12.5;180;1.816454;4;7.277566
3;0.8;20;260;1.974855;1;5.287484
3;0.8;0;140;1.684857;5;6.611689
3;0.8;-30;220;1.952882;3;6.589944
3;0.8;-110;260;2.336873;3;7.942353
3;0.8;25;140;1.660664;5;7.454994
3;0.8;-15;180;1.767183;5;8.109262
3;0.8;0;220;1.862344;2;12.14313
3;0.8;0;140;1.675346;5;7.799719
3;0.8;40;180;1.7151;2;8.389381
3;0.8;-12.5;260;1.886211;2;6.20998
3;0.8;-50;140;1.773143;2;8.343055
3;0.8;12.5;180;1.784731;3;7.734332
3;0.8;-60;220;2.043342;3;7.433576
3;0.8;-110;260;2.39199;3;5.298913
3;0.8;50;140;1.682226;2;8.399974
3;0.8;-12.5;260;2.00245;2;5.309054
3;0.8;-42.5;180;1.913782;4;7.08926
3;0.8;-90;220;2.201774;3;7.520467
3;0.8;50;140;1.703432;2;7.055387
3;0.8;-77.5;260;2.362874;3;5.79972
3;0.8;30;220;1.778468;2;5.902239
3;0.8;-70;180;1.95641;2;6.610608
3;0.8;-90;220;2.086985;2;9.219299
3;0.8;20;260;1.809942;1;5.967361
3;0.8;-42.5;180;1.798198;4;7.966562
3;0.8;0;140;1.701214;4;7.500274
3;0.8;0;220;1.786696;3;8.075329
3;0.8;-110;260;2.3342;3;5.299704
3;0.8;-15;180;1.839608;4;8.033371
3;0.8;25;140;1.676438;3;6.876418

