MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-60;220;2.564872;5;11.78839
3;0.8;-45;260;2.634542;3;6.042051
3;0.8;-70;180;2.391086;5;5.631996
3;0.8;-50;140;2.167464;5;7.190289
3;0.8;-60;220;2.533238;4;5.687909
3;0.8;-70;180;2.452284;5;5.589258
3;0.8;-77.5;260;2.821523;4;5.098063
3;0.8;50;140;2.257258;1;5.488914
3;0.8;-60;220;2.347895;4;5.811498
3;0.8;40;180;2.21196;1;4.398659
3;0.8;-25;140;2.144072;5;4.510809
3;0.8;-77.5;260;2.613262;4;4.932498
3;0.8;25;140;2.208529;3;4.589298
3;0.8;30;220;2.224543;1;4.254015
3;0.8;-15;180;2.321129;4;4.77663
3;0.8;-110;260;3.177088;1;3.779313
3;0.8;-90;220;2.88982;3;5.420125
3;0.8;0;140;2.181786;4;5.123599
3;0.8;-77.5;260;2.793638;3;4.865251
3;0.8;12.5;180;2.215621;3;4.188342
3;0.8;0;140;2.071096;5;4.433418
3;0.8;-45;260;2.863352;3;4.132346
3;0.8;40;180;2.607881;1;4.010082
3;0.8;30;220;2.354338;1;4.111053
3;0.8;0;140;2.380588;5;5.299477
3;0.8;-42.5;180;2.357334;5;4.822404
3;0.8;-110;260;2.937045;2;4.143412
3;0.8;-90;220;2.921067;2;3.989531
3;0.8;25;140;2.21099;3;5.298711
3;0.8;-15;180;2.317365;4;4.409703
3;0.8;-30;220;2.485029;4;5.212166
3;0.8;20;260;2.895161;1;3.331486
3;0.8;0;220;2.547199;3;4.767423
3;0.8;50;140;2.216509;2;4.643473
3;0.8;-42.5;180;2.350264;5;5.311285
3;0.8;20;260;2.507921;1;3.753826
3;0.8;-30;220;2.388033;4;5.022811
3;0.8;-25;140;1.885769;5;4.432596
3;0.8;-15;180;2.195396;5;5.244846
3;0.8;-45;260;2.93908;3;3.58722
3;0.8;40;180;2.469159;2;4.51057
3;0.8;20;260;2.673353;1;3.777564
3;0.8;-50;140;2.883765;2;5.121082
3;0.8;-30;220;2.942665;3;3.53444
3;0.8;25;140;2.515795;2;5.265625
3;0.8;-90;220;2.70378;1;3.977844
3;0.8;12.5;180;2.407979;4;5.16539
3;0.8;-12.5;260;3.032675;3;3.677846
3;0.8;30;220;2.726381;3;5.398146
3;0.8;12.5;180;2.698051;4;5.711953
3;0.8;-12.5;260;2.681155;2;183.2746
3;0.8;50;140;2.283944;2;4.143122
3;0.8;0;220;2.515297;3;3.999303
3;0.8;-12.5;260;2.851069;1;3.365401
3;0.8;-50;140;2.541972;2;3.544829
3;0.8;-42.5;180;2.722841;4;3.554623
3;0.8;-25;140;2.484939;4;3.689254
3;0.8;0;220;2.606891;3;3.943324
3;0.8;-110;260;3.023385;1;3.288384
3;0.8;-70;180;2.815116;2;3.288863

