MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-45;260;2.627074;4;11.68875
3;0.8;-25;140;1.941439;5;10.28688
3;0.8;-42.5;180;2.103797;5;8.365731
3;0.8;-90;220;3.346511;2;11.21173
3;0.8;-15;180;2.185795;3;11.12091
3;0.8;-60;220;2.451696;4;12.30139
3;0.8;-45;260;2.641254;4;7.109421
3;0.8;25;140;1.935353;4;8.310047
3;0.8;-110;260;3.445922;2;8.722528
3;0.8;30;220;3.229288;2;8.766602
3;0.8;12.5;180;2.142836;4;9.966205
3;0.8;25;140;1.85281;4;8.220887
3;0.8;-42.5;180;1.980439;5;11.55603
3;0.8;50;140;2.094573;3;11.16648
3;0.8;-77.5;260;2.75802;3;10.17785
3;0.8;-60;220;2.26525;4;8.32238
3;0.8;-25;140;1.824843;5;7.19861
3;0.8;-70;180;2.776123;3;7.388929
3;0.8;-12.5;260;2.677898;2;8.000145
3;0.8;-30;220;2.309757;4;6.654254
3;0.8;-50;140;3.25203;1;6.912546
3;0.8;20;260;3.27933;2;5.663753
3;0.8;-70;180;3.836822;2;6.345042
3;0.8;-90;220;3.397626;2;9.510209
3;0.8;25;140;1.894274;4;10.2006
3;0.8;20;260;3.258489;2;4.721661
3;0.8;-30;220;2.361251;4;5.66581
3;0.8;-15;180;1.93907;4;9.200334
3;0.8;-12.5;260;3.162941;2;7.266046
3;0.8;50;140;1.952691;3;13.28753
3;0.8;-42.5;180;2.023074;5;6.900443
3;0.8;30;220;2.498653;3;7.056062
3;0.8;-77.5;260;2.88274;4;9.388168
3;0.8;-30;220;2.14037;4;6.787596
3;0.8;-70;180;3.55207;2;5.478296
3;0.8;-25;140;1.914043;4;9.234165
3;0.8;-90;220;3.386201;3;5.808136
3;0.8;-77.5;260;3.155621;4;4.755633
3;0.8;40;180;2.396014;3;8.045026
3;0.8;0;140;1.750339;5;9.810669
3;0.8;20;260;3.26764;2;5.111355
3;0.8;40;180;2.707612;3;5.109095
3;0.8;0;220;2.029755;4;9.689777
3;0.8;50;140;2.886053;3;7.800148
3;0.8;12.5;180;2.108363;3;7.898546
3;0.8;-110;260;3.723277;2;9.265537
3;0.8;0;140;1.852579;4;9.611256
3;0.8;-60;220;2.978549;2;7.934442
3;0.8;12.5;180;1.964859;4;5.364871
3;0.8;-45;260;2.332537;4;7.5991
3;0.8;0;220;1.972091;4;8.855919
3;0.8;-50;140;3.784223;2;5.043497
3;0.8;-110;260;4.005876;2;4.288641
3;0.8;-15;180;1.865402;4;7.77975
3;0.8;-50;140;2.794595;3;6.910046
3;0.8;30;220;2.743462;3;8.653727
3;0.8;40;180;2.804453;3;9.944719
3;0.8;0;220;2.309938;4;6.244799
3;0.8;0;140;1.75854;4;9.609318
3;0.8;-12.5;260;2.237276;3;7.800669

