MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-110;260;2.741409;3;10.32022
3;0.8;0;140;2.499871;4;3.764015
3;0.8;-30;220;3.157909;4;2.610943
3;0.8;40;180;2.337839;3;3.745459
3;0.8;-25;140;2.524059;3;3.888436
3;0.8;40;180;2.469168;3;7.155125
3;0.8;30;220;2.276397;3;7.386827
3;0.8;20;260;3.093196;3;5.199322
3;0.8;-90;220;2.782184;2;24.01258
3;0.8;-15;180;2.996304;3;8.34124
3;0.8;-45;260;2.636762;3;23.62706
3;0.8;50;140;1.794613;2;11.16528
3;0.8;-90;220;2.39412;2;5.887211
3;0.8;50;140;2.51957;3;3.988372
3;0.8;-77.5;260;2.760994;2;4.592365
3;0.8;-15;180;2.198955;3;3.8085
3;0.8;-12.5;260;2.299157;3;3.24036
3;0.8;-60;220;2.281384;3;12.73461
3;0.8;-50;140;2.24466;2;4.677119
3;0.8;12.5;180;2.597029;3;2.575155
3;0.8;50;140;2.011726;3;10.67822
3;0.8;-15;180;1.9937;4;7.055047
3;0.8;0;220;2.060079;4;9.444749
3;0.8;-110;260;2.794391;2;3.377503
3;0.8;-70;180;2.976625;2;5.75504
3;0.8;-110;260;2.669518;2;3.134119
3;0.8;25;140;2.149619;2;10.16636
3;0.8;0;220;1.949734;4;6.031884
3;0.8;20;260;2.091788;3;12.51101
3;0.8;25;140;1.801123;2;8.978002
3;0.8;-42.5;180;1.961596;3;5.689797
3;0.8;-60;220;2.417017;2;4.509178
3;0.8;12.5;180;1.92875;3;10.69167
3;0.8;-45;260;2.39111;3;10.58655
3;0.8;-90;220;2.343906;2;5.222431
3;0.8;-25;140;2.013781;3;4.54339
3;0.8;-70;180;2.164582;2;4.231837
3;0.8;0;140;2.364436;4;3.853097
3;0.8;-12.5;260;1.917844;4;7.637196
3;0.8;0;220;1.849231;5;6.575085
3;0.8;-77.5;260;2.13071;2;6.044683
3;0.8;0;140;1.715971;5;16.13264
3;0.8;12.5;180;1.820351;5;7.67894
3;0.8;-30;220;2.075251;4;12.5767
3;0.8;-12.5;260;2.03562;3;4.590627
3;0.8;40;180;1.735052;3;12.66579
3;0.8;-30;220;1.960675;4;10.94357
3;0.8;-25;140;1.770829;4;10.82167
3;0.8;-45;260;2.473243;2;11.16748
3;0.8;30;220;1.82512;3;5.064347
3;0.8;25;140;1.960137;2;4.877993
3;0.8;-42.5;180;2.080671;3;5.735777
3;0.8;-77.5;260;2.485505;2;3.840203
3;0.8;-50;140;1.957325;3;5.855068
3;0.8;-42.5;180;2.393908;4;3.579429
3;0.8;30;220;1.867541;2;5.810352
3;0.8;-50;140;2.309828;3;9.856275
3;0.8;-70;180;2.204713;3;9.308238
3;0.8;20;260;1.937336;4;4.944559
3;0.8;-60;220;2.143125;4;7.411424

