MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;1;90;360;4.35707;0;17.39928
3;1;-90;270;3.706843;0;9.654178
3;2;45;360;3.977231;1;30.40092
3;2;0;180;3.452237;1;10.62125
6;1;90;270;2.325308;2;12.24407
3;2;90;270;4.773166;0;3.734434
3;2;90;360;5.021073;0;2.208373
3;2;-45;270;4.798882;0;4.93312
6;1;90;360;3.546692;1;17.06439
6;2;0;270;3.275981;2;6.977058
3;2;90;180;2.201667;1;10.9251
3;1;45;360;2.595434;2;7.856406
6;1;0;180;1.85662;3;6.197484
3;1;0;270;2.181006;3;4.511064
6;2;45;180;2.091978;3;12.28834
3;1;-45;360;2.990737;2;9.924934
6;2;-45;360;4.284859;1;8.431441
6;2;90;180;2.210019;1;9.408023
6;1;0;270;1.996489;4;5.056448
6;2;-45;270;3.959513;1;15.83163
6;1;-90;360;3.664734;2;17.04435
3;1;-90;180;5.09902;0;4.657387
6;2;-45;180;3.456772;0;9.085206
3;1;0;360;2.623329;3;6.147855
3;1;45;270;2.151655;2;10.59969
3;2;45;270;5.09902;0;3.855254
3;2;-90;360;5.09902;0;2.177305
6;1;45;360;6.342688;1;20.20875
6;1;-90;180;4.936054;1;11.19028
6;2;-90;360;5.923382;1;10.00913
3;1;45;180;2.449645;1;9.988574
6;1;-45;180;2.970443;3;8.642538
6;2;-90;270;4.988738;2;7.633845
3;2;-45;360;4.860435;2;6.978077
6;1;-90;270;2.804972;2;8.320696
3;2;-90;270;4.607147;1;5.645523
6;1;-45;270;3.393515;1;4.745121
6;1;45;180;1.827234;3;9.287704
3;1;-45;270;3.037674;2;5.542249
3;2;0;270;4.407395;1;11.41085
6;2;45;270;5.577483;1;10.91003
6;2;-90;180;6.264709;0;6.054604
6;2;0;180;4.056206;3;4.910561
3;1;-90;360;5.09902;3;4.634828
3;1;90;180;4.627012;1;4.344958
3;1;90;270;3.774368;1;4.708022
6;2;90;360;5.435036;1;6.254769
6;2;0;360;3.051726;2;11.52215
3;2;45;180;2.591196;1;7.066797
3;2;0;360;3.794683;1;4.233259
3;1;0;180;2.247911;4;4.743624
3;2;-90;180;3.513726;0;8.931761
6;1;45;270;2.88212;1;5.378314
6;2;90;270;3.949546;1;6.419584
3;2;-45;180;3.671879;3;4.554614
6;1;0;360;4.038944;1;6.834688
6;1;-45;360;2.192544;1;9.96701
6;1;90;180;3.256791;1;5.643012
3;1;-45;180;2.583398;4;6.511325
6;2;45;360;5.165353;2;9.441626

