MemberCount;GroupSize;GroupOrientation;GroupArc;DistanceFromGroup;WelcomedFactor;ScenarioLength
3;0.8;-25;140;2.775869;2;36.58715
3;0.8;-42.5;180;3.042754;4;39.43393
3;0.8;0;220;3.067657;1;26.16842
3;0.8;-45;260;3.033018;1;9.197305
3;0.8;-25;140;2.597865;4;16.27891
3;0.8;-77.5;260;3.212358;3;12.52137
3;0.8;12.5;180;3.222411;2;15.65652
3;0.8;-90;220;3.819581;3;13.12133
3;0.8;12.5;180;3.217068;2;16.25737
3;0.8;25;140;3.076238;1;11.43256
3;0.8;20;260;3.173843;2;15.2219
3;0.8;30;220;2.940642;3;6.042274
3;0.8;-15;180;2.809293;3;8.46629
3;0.8;50;140;2.613302;2;5.889408
3;0.8;30;220;3.611584;3;10.92195
3;0.8;20;260;4.389897;2;7.813663
3;0.8;0;220;4.461525;3;9.631634
3;0.8;20;260;3.531615;3;6.097391
3;0.8;-50;140;3.247888;4;6.989881
3;0.8;12.5;180;3.590281;3;6.400443
3;0.8;-90;220;4.908454;2;8.711168
3;0.8;-45;260;3.561023;3;5.523683
3;0.8;0;140;3.286805;4;5.073585
3;0.8;40;180;3.295956;3;7.367738
3;0.8;-77.5;260;3.732685;2;8.310815
3;0.8;0;140;2.814062;3;7.278144
3;0.8;-70;180;3.00249;3;10.17654
3;0.8;-30;220;2.644121;4;6.4331
3;0.8;50;140;2.582127;3;7.032894
3;0.8;-12.5;260;3.422922;3;7.622142
3;0.8;-30;220;3.288836;3;8.022269
3;0.8;40;180;3.459004;3;7.032896
3;0.8;-110;260;4.131826;2;6.854824
3;0.8;-50;140;3.244452;3;8.800653
3;0.8;-42.5;180;2.960361;4;7.253691
3;0.8;-60;220;3.385601;4;6.089091
3;0.8;-70;180;3.552814;3;7.189728
3;0.8;25;140;2.297112;2;6.621682
3;0.8;0;220;3.060566;3;5.354897
3;0.8;-12.5;260;3.082347;3;5.732513
3;0.8;-15;180;3.020755;3;6.733914
3;0.8;0;140;2.510947;3;5.701598
3;0.8;-77.5;260;3.469453;2;5.652129
3;0.8;-30;220;2.716421;4;6.722334
3;0.8;40;180;2.608618;3;5.955204
3;0.8;-110;260;2.832187;2;4.522357
3;0.8;25;140;2.667097;2;5.255369
3;0.8;-90;220;3.31043;3;6.779821
3;0.8;-110;260;4.203887;2;4.121307
3;0.8;-60;220;3.306142;2;5.28644
3;0.8;50;140;3.314577;2;5.532397
3;0.8;-70;180;2.856399;3;5.022367
3;0.8;-45;260;3.097434;3;4.854917
3;0.8;-42.5;180;2.655281;2;4.678586
3;0.8;-25;140;3.001901;3;6.520072
3;0.8;30;220;2.801356;3;4.521512
3;0.8;-12.5;260;2.91883;3;4.011683
3;0.8;-50;140;2.492919;3;5.153232
3;0.8;-15;180;2.830836;3;4.048118
3;0.8;-60;220;2.905965;3;4.197141

